// nub at bottom of L2
-1,-2.5,-1.5,1,1,1,
/
// bottom of L1
-1,-2.5,1.5,1,1,1,
0,-2.5,1.5,1,1,1,
1,-2.5,1.5,1,1,1,
2,-2.5,1.5,1,1,1,
3,-2.5,1.5,1,1,1,
/
// tall of L2
-1,1.5,-1.5,1,1,1,
-1,0.5,-1.5,1,1,1,
-1,-.5,-1.5,1,1,1,
-1,-1.5,-1.5,1,1,1,
/
// tall of L1
-1,1.5,1.5,1,1,1,
-1,0.5,1.5,1,1,1,
-1,-0.5,1.5,1,1,1,
-1,-1.5,1.5,1,1,1,
/
// top of the O
-1,1.5,0.5,1,1,1,
-1,1.5,-0.5,1,1,1,
/
// bottom of the O
-1,-2.5,0.5,1,1,1,
-1,-2.5,-0.5,1,1,1,
/
// bottom of the G
3,-2.5,0.5,1,1,1,
3,-2.5,-0.5,1,1,1,
/
// right side of G
1,-2.5,-1.5,1,1,1,
2,-2.5,-1.5,1,1,1,
3,-2.5,-1.5,1,1,1,
/
// nub in the G
1,-2.5,-0.5,1,1,1,
